YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,WS2M,PS,RH2M,T2M,SNODP,TS,WD10M,T2MDEW,PRECTOTCORR
2025,9,10,0,-999.0,2.56,101.4,73.42,19.44,0.0,19.49,73.8,14.64,0.46
2025,9,10,1,-999.0,2.76,101.41,73.75,19.04,0.0,19.16,59.9,14.32,0.25
2025,9,10,2,-999.0,3.01,101.42,74.43,18.67,0.0,18.92,48.1,14.1,0.0
2025,9,10,3,-999.0,3.21,101.44,75.43,18.38,0.0,18.75,36.3,14.02,0.0
2025,9,10,4,-999.0,3.84,101.46,73.13,18.88,0.0,19.61,28.2,14.04,0.0
2025,9,10,5,-999.0,4.92,101.49,66.74,20.19,0.0,21.4,27.3,13.91,3.07
2025,9,10,6,-999.0,5.95,101.53,61.24,21.36,0.0,22.77,37.6,13.69,5.29
2025,9,10,7,-999.0,6.56,101.57,60.14,21.78,0.0,23.33,49.3,13.81,6.28
2025,9,10,8,-999.0,6.83,101.57,59.9,22.13,0.0,24.2,54.8,14.08,1.63
2025,9,10,9,-999.0,6.57,101.54,56.68,22.8,0.0,25.03,55.3,13.84,0.35
2025,9,10,10,-999.0,6.24,101.52,53.06,23.51,0.0,25.67,54.9,13.47,1.04
2025,9,10,11,-999.0,6.1,101.49,50.55,24.03,0.0,25.81,56.5,13.18,1.78
2025,9,10,12,-999.0,6.15,101.49,49.47,24.23,0.0,25.55,59.2,13.03,0.89
2025,9,10,13,-999.0,6.28,101.5,50.33,23.91,0.0,24.63,61.9,13.0,1.11
2025,9,10,14,-999.0,6.26,101.51,52.32,23.32,0.0,23.74,63.6,13.07,0.43
2025,9,10,15,-999.0,5.95,101.51,55.02,22.56,0.0,22.58,63.2,13.15,0.03
2025,9,10,16,-999.0,5.21,101.51,58.95,21.69,0.0,21.49,60.3,13.41,0.14
2025,9,10,17,-999.0,4.66,101.55,62.66,21.09,0.0,20.94,57.8,13.79,0.0
2025,9,10,18,-999.0,4.42,101.59,65.49,20.63,0.0,20.55,58.6,14.04,0.0
2025,9,10,19,-999.0,4.31,101.62,67.65,20.14,0.0,20.17,61.0,14.07,0.0
2025,9,10,20,-999.0,4.1,101.62,69.86,19.59,0.0,19.79,62.0,14.03,0.0
2025,9,10,21,-999.0,3.75,101.62,71.59,19.05,0.0,19.39,59.1,13.88,0.0
2025,9,10,22,-999.0,3.89,101.57,72.68,18.62,0.0,19.08,56.4,13.69,0.0
2025,9,10,23,-999.0,4.15,101.54,72.52,18.35,0.0,18.88,56.2,13.4,0.0
